영상제목,채널명,링크
"[뉴스모아] ""나만 징역 많아 억울""…'돌려차기 사건' 결국 대법원으로 / YTN",YTN,https://www.youtube.com/watch?v=MJskz9BjvA4&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
['부산 돌려차기 사건' 항소심서 징역 20년 선고] 6월 12일 (월) 풀영상/ 디지털 Only,JTBC News,https://www.youtube.com/watch?v=HmkmT8LTqOQ&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
'부산 돌려차기' 항소심서 징역 20년 선고…신상 공개는?/사라진 7분의 진실…마지막 재판서 밝혀졌다/[속보] 2023년 6월 12일(월)/KBS,KBS News,https://www.youtube.com/watch?v=BMMP7zxxZrs&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"[뉴스앤이슈] 구치소 동기 ""가해자, 더 건강해져...2주 동안 보복 얘기"" / YTN",YTN,https://www.youtube.com/watch?v=hqyFR4xP0ns&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"[자막뉴스] ""대놓고 보복하겠다는 사람을..."" 부산 돌려차기 사건 최종 판단은? / YTN",YTN,https://www.youtube.com/watch?v=4sLdg5-0n08&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"이수정 ""'돌려차기' 가해자, 죄의식 없어...협박 계속되는 심각한 상황"" [Y녹취록] / YTN",YTN,https://www.youtube.com/watch?v=8i5fTVV1Rfk&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
[뉴스쏙] '부산 돌려차기' 가해 남성에 징역 20년 선고…신상공개는? / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=8fA-rSJakLU&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"[뉴스가 끝나면] 부산 돌려차기 사건 ""잊지 않게 만들 겁니다.""",YTN,https://www.youtube.com/watch?v=jzwkQyjQgHg&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"끝내 물증 잡아낸 검찰…피해자, 참았던 눈물 터졌다 (자막뉴스) / SBS",SBS 뉴스,https://www.youtube.com/watch?v=UtGGc8KukO8&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"[자막뉴스] ""피해자분 회복해서 말도 글도 너무 잘 써요"" 이게 반성문?  (2023.06.13/MBC뉴스)",MBCNEWS,https://www.youtube.com/watch?v=_kqAJC8wXCA&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
